docid,section,sentenceid_gold,subject_text_gold,subject_type_gold,object_text_gold,object_type_gold,relation_gold,trigger_text_gold,sub_norm,obj_norm,sentenceid_model,subject_text_model,subject_type_model,object_text_model,object_type_model,relation_model,trigger_text_model,_merge
15998787,abstract,4,response,Clinical Attribute,infiltration of eosinophils,Pathologic Function,ASSOCIATED_WITH,associated,response,infiltration of eosinophils,,,,,,,,left_only
15998787,abstract,5,splenocytes,Cell,interleukin (IL)-4,"Amino Acid, Peptide, or Protein",LOCATION_OF,in,splenocytes,interleukin il-4,,,,,,,,left_only
15998787,abstract,5,bronchoalveolar lavage fluid,Body Substance,interleukin (IL)-4,"Amino Acid, Peptide, or Protein",LOCATION_OF,in,bronchoalveolar lavage fluid,interleukin il-4,,,,,,,,left_only
15998787,abstract,5,interleukin (IL)-4,"Amino Acid, Peptide, or Protein",cytokine,"Amino Acid, Peptide, or Protein",ISA,,interleukin il-4,cytokine,,,,,,,,left_only
15998787,abstract,5,IL-13,"Amino Acid, Peptide, or Protein",cytokine,"Amino Acid, Peptide, or Protein",ISA,,il-13,cytokine,,,,,,,,left_only
16000282,abstract,10,CT/MRI,Diagnostic Procedure,metastases,Neoplastic Process,DIAGNOSES,identification,ct/mri,metastases,,,,,,,,left_only
16015001,abstract,5,Patients,Human,phosphorus,Pharmacologic Substance,LOCATION_OF,with,patients,phosphorus,,,,,,,,left_only
16015001,abstract,5,Patients,Human,P,Pharmacologic Substance,LOCATION_OF,with,patients,p,,,,,,,,left_only
16020163,abstract,2,women,Human,adult,Human,ISA,,women,adult,,,,,,,,left_only
16020163,abstract,2,acculturation,Social Behavior,suicide,Injury or Poisoning,AFFECTS,relationship,acculturation,suicide,,,,,,,,left_only
16025281,abstract,6,BAFF-R,Gene or Genome,B-cell lymphoma,Neoplastic Process,PART_OF,in,baff-r,b-cell lymphoma,,,,,,,,left_only
16025281,abstract,6,B-lymphoblastic lymphoma,Neoplastic Process,B-cell lymphoma,Neoplastic Process,ISA,:,b-lymphoblastic lymphoma,b-cell lymphoma,,,,,,,,left_only
16025281,abstract,6,B-chronic lymphocytic leukemia/small lymphocytic lymphoma,Neoplastic Process,B-cell lymphoma,Neoplastic Process,ISA,:,b-chronic lymphocytic leukemia/small lymphocytic lymphoma,b-cell lymphoma,,,,,,,,left_only
16025281,abstract,6,mantle cell lymphoma,Neoplastic Process,B-cell lymphoma,Neoplastic Process,ISA,:,mantle cell lymphoma,b-cell lymphoma,,,,,,,,left_only
16025281,abstract,6,follicular lymphoma,Neoplastic Process,B-cell lymphoma,Neoplastic Process,ISA,:,follicular lymphoma,b-cell lymphoma,,,,,,,,left_only
16025281,abstract,6,diffuse large B-cell lymphoma,Neoplastic Process,B-cell lymphoma,Neoplastic Process,ISA,:,diffuse large b-cell lymphoma,b-cell lymphoma,,,,,,,,left_only
16025281,abstract,6,marginal zone B-cell lymphoma,Neoplastic Process,B-cell lymphoma,Neoplastic Process,ISA,:,marginal zone b-cell lymphoma,b-cell lymphoma,,,,,,,,left_only
16025281,abstract,6,lymphoplasmacytic lymphoma,Neoplastic Process,B-cell lymphoma,Neoplastic Process,ISA,:,lymphoplasmacytic lymphoma,b-cell lymphoma,,,,,,,,left_only
16025281,abstract,6,plasma cell myeloma,Neoplastic Process,B-cell lymphoma,Neoplastic Process,ISA,:,plasma cell myeloma,b-cell lymphoma,,,,,,,,left_only
16025281,abstract,6,Burkitt lymphoma,Neoplastic Process,B-cell lymphoma,Neoplastic Process,ISA,:,burkitt lymphoma,b-cell lymphoma,,,,,,,,left_only
16025281,abstract,6,Hodgkin lymphoma,Neoplastic Process,B-cell lymphoma,Neoplastic Process,ISA,:,hodgkin lymphoma,b-cell lymphoma,,,,,,,,left_only
16025281,abstract,7,BAFF-R,Gene or Genome,B-cell neoplasms,Neoplastic Process,PART_OF,expressed,baff-r,b-cell neoplasms,,,,,,,,left_only
16025281,abstract,7,BAFF-R,Gene or Genome,DLBCL,Neoplastic Process,PART_OF,expressed,baff-r,dlbcl,,,,,,,,left_only
16025281,abstract,7,BAFF-R,Gene or Genome,proliferation,Cell Function,AFFECTS,role,baff-r,proliferation,,,,,,,,left_only
16025281,abstract,7,proliferation,Cell Function,lymphoid cells,Cell,AFFECTS,of,proliferation,lymphoid cells,,,,,,,,left_only
16025281,abstract,7,lymphoid cells,Cell,neoplastic,Neoplastic Process,LOCATION_OF,,lymphoid cells,neoplastic,,,,,,,,left_only
16030174,abstract,11,follicular fluid,Body Substance,inhibin A,"Amino Acid, Peptide, or Protein",LOCATION_OF,in,follicular fluid,inhibin a,,,,,,,,left_only
16038840,abstract,7,NSAID,Pharmacologic Substance,diverticular infection,Disease or Syndrome,PREDISPOSES,increases the risk,nsaid,diverticular infection,,,,,,,,left_only
16038840,abstract,7,diverticular,Anatomical Abnormality,infection,Disease or Syndrome,LOCATION_OF,,diverticular,infection,,,,,,,,left_only
16038840,abstract,7,NSAID,Pharmacologic Substance,diverticular infection and perforation,Disease or Syndrome,PREDISPOSES,increases the risk,nsaid,diverticular infection and perforation,,,,,,,,left_only
16044089,abstract,2,peritoneal lavage,Therapeutic or Preventive Procedure,oxygenated PFC,Pharmacologic Substance,USES,with,peritoneal lavage,oxygenated pfc,,,,,,,,left_only
16044089,abstract,2,peritoneal lavage,Therapeutic or Preventive Procedure,hemorrhagic shock,Pathologic Function,TREATS,against,peritoneal lavage,hemorrhagic shock,,,,,,,,left_only
16044089,abstract,12,lavage,Therapeutic or Preventive Procedure,O2-PFC,Pharmacologic Substance,USES,,lavage,o2-pfc,,,,,,,,left_only
16044089,abstract,12,intestinal,"Body Part, Organ, or Organ Component",damage,Injury or Poisoning,LOCATION_OF,,intestinal,damage,,,,,,,,left_only
16046858,abstract,4,injection,Therapeutic or Preventive Procedure,AMPA,Pharmacologic Substance,USES,of,injection,ampa,,,,,,,,left_only
16046858,abstract,4,injection,Therapeutic or Preventive Procedure,rats,Mammal,TREATS,in,injection,rats,,,,,,,,left_only
16046858,abstract,4,gray and white matter,Tissue,injury,Injury or Poisoning,LOCATION_OF,,gray and white matter,injury,,,,,,,,left_only
16046858,abstract,4,injection,Therapeutic or Preventive Procedure,injury,Injury or Poisoning,CAUSES,caused,injection,injury,,,,,,,,left_only
16078061,abstract,2,surgery,Therapeutic or Preventive Procedure,epilepsy,Disease or Syndrome,TREATS,,surgery,epilepsy,,,,,,,,left_only
16078061,abstract,2,PET scan,Diagnostic Procedure,FDG,"Indicator, Reagent, or Diagnostic Aid",USES,,pet scan,fdg,,,,,,,,left_only
16083305,title,1,Escherichia coli,Bacterium,BAFF,"Amino Acid, Peptide, or Protein",LOCATION_OF,in,escherichia coli,baff,,,,,,,,left_only
16083305,title,1,mice,Mammal,NK cells,Cell,LOCATION_OF,in,mice,nk cells,,,,,,,,left_only
16083305,title,1,mice,Mammal,CD8+ T lymphocytes,Cell,LOCATION_OF,in,mice,cd8+ t lymphocytes,,,,,,,,left_only
16083305,title,1,BAFF,"Amino Acid, Peptide, or Protein",CD8+ T lymphocytes,Cell,AFFECTS,Effects,baff,cd8+ t lymphocytes,,,,,,,,left_only
16083305,title,1,BAFF,"Amino Acid, Peptide, or Protein",CD4+,Cell,AFFECTS,Effects,baff,cd4,,,,,,,,left_only
16083305,title,1,BAFF,"Amino Acid, Peptide, or Protein",NK cells,Cell,AFFECTS,Effects,baff,nk cells,,,,,,,,left_only
16083305,abstract,3,mice,Mammal,natural killer (NK) cells,Cell,LOCATION_OF,in,mice,natural killer nk cells,,,,,,,,left_only
16083305,abstract,3,mice,Mammal,CD8(+) T lymphocytes,Cell,LOCATION_OF,in,mice,cd8+ t lymphocytes,,,,,,,,left_only
16083305,abstract,3,mice,Mammal,CD4(+),Cell,LOCATION_OF,in,mice,cd4,,,,,,,,left_only
16083305,abstract,3,mice,Mammal,B lymphocytes,Cell,LOCATION_OF,in,mice,b lymphocytes,,,,,,,,left_only
16083305,abstract,3,hsBAFF,"Amino Acid, Peptide, or Protein",B lymphocytes,Cell,AFFECTS,effects,hsbaff,b lymphocytes,,,,,,,,left_only
16083305,abstract,3,hsBAFF,"Amino Acid, Peptide, or Protein",CD4(+),Cell,AFFECTS,effects,hsbaff,cd4,,,,,,,,left_only
16083305,abstract,3,hsBAFF,"Amino Acid, Peptide, or Protein",CD8(+) T lymphocytes,Cell,AFFECTS,effects,hsbaff,cd8+ t lymphocytes,,,,,,,,left_only
16083305,abstract,3,hsBAFF,"Amino Acid, Peptide, or Protein",natural killer (NK) cells,Cell,AFFECTS,effects,hsbaff,natural killer nk cells,,,,,,,,left_only
16084063,title,1,beta-catenin,"Amino Acid, Peptide, or Protein",apoptosis,Cell Function,DISRUPTS,inhibits,catenin,apoptosis,,,,,,,,left_only
16084063,title,1,beta-catenin,"Amino Acid, Peptide, or Protein",invasive growth,Pathologic Function,AUGMENTS,promotes,catenin,invasive growth,,,,,,,,left_only
16084063,title,1,invasive growth,Pathologic Function,HNSCC,Neoplastic Process,COEXISTS_WITH,of,invasive growth,hnscc,,,,,,,,left_only
16084063,abstract,1,Wnt/beta-catenin signaling pathway,"Amino Acid, Peptide, or Protein",cell proliferation,Cell Function,AFFECTS,role,wnt/-catenin signaling pathway,cell proliferation,,,,,,,,left_only
16084063,abstract,1,Wnt/beta-catenin signaling pathway,"Amino Acid, Peptide, or Protein",oncogenesis,Neoplastic Process,AFFECTS,role,wnt/-catenin signaling pathway,oncogenesis,,,,,,,,left_only
16091875,abstract,14,therapy,Therapeutic or Preventive Procedure,CMV infections,Disease or Syndrome,TREATS,for,therapy,cmv infections,,,,,,,,left_only
16100526,abstract,2,Veratridine,Biologically Active Substance,secretion,Biologic Function,CAUSES,causing,veratridine,secretion,,,,,,,,left_only
16100526,abstract,2,colon mucosa,"Body Part, Organ, or Organ Component",secretion,Biologic Function,LOCATION_OF,across,colon mucosa,secretion,,,,,,,,left_only
16100526,abstract,12,NPY,"Amino Acid, Peptide, or Protein",Y(2) receptors,"Amino Acid, Peptide, or Protein",STIMULATES,activation,npy,y2 receptors,,,,,,,,left_only
16100526,abstract,12,neurons,Cell,Y(2) receptors,"Amino Acid, Peptide, or Protein",LOCATION_OF,located,neurons,y2 receptors,,,,,,,,left_only
16100526,abstract,12,neurons,Cell,submucosal,Tissue,PART_OF,,neurons,submucosal,,,,,,,,left_only
16100526,abstract,12,veratridine,Pharmacologic Substance,tissue,Tissue,AFFECTS,response,veratridine,tissue,,,,,,,,left_only
16101536,abstract,7,anti-cytokine biologics therapy,Therapeutic or Preventive Procedure,rheumatoid arthritis,Disease or Syndrome,TREATS,against,anti-cytokine biologics therapy,rheumatoid arthritis,,,,,,,,left_only
16102747,abstract,6,MPEP,Pharmacologic Substance,mGlu5 receptor antagonist,Pharmacologic Substance,ISA,,mpep,mglu5 receptor antagonist,,,,,,,,left_only
16102747,abstract,6,mGlu5 receptor antagonist,Pharmacologic Substance,sphincter relaxation,Organ or Tissue Function,DISRUPTS,inhibits,mglu5 receptor antagonist,sphincter relaxation,,,,,,,,left_only
16102747,abstract,6,esophageal,"Body Part, Organ, or Organ Component",sphincter relaxation,Organ or Tissue Function,LOCATION_OF,,esophageal,sphincter relaxation,,,,,,,,left_only
16102747,abstract,6,mGlu5 receptor,"Amino Acid, Peptide, or Protein",gastroesophageal reflux disease,Disease or Syndrome,TREATS,treatment,mglu5 receptor,gastroesophageal reflux disease,,,,,,,,left_only
16105135,title,1,steatohepatitis,Disease or Syndrome,patients,Human,PROCESS_OF,in,steatohepatitis,patients,,,,,,,,left_only
16105135,title,1,homocysteine,"Amino Acid, Peptide, or Protein",steatohepatitis,Disease or Syndrome,PREDISPOSES,predictor,homocysteine,steatohepatitis,,,,,,,,left_only
16105135,abstract,1,cystathionine beta-synthase,"Amino Acid, Peptide, or Protein",hyperhomocysteinemia,Disease or Syndrome,CAUSES,due to,cystathionine -synthase,hyperhomocysteinemia,,,,,,,,left_only
16105135,abstract,1,homocysteine,"Amino Acid, Peptide, or Protein",patients,Human,PART_OF,in,homocysteine,patients,,,,,,,,left_only
16109976,abstract,2,lung inflammation,Disease or Syndrome,lambs,Mammal,PROCESS_OF,In,lung inflammation,lambs,,,,,,,,left_only
16109976,abstract,2,maturation,Physiologic Function,lambs,Mammal,PROCESS_OF,In,maturation,lambs,,,,,,,,left_only
16109976,abstract,2,maturation,Physiologic Function,lung,"Body Part, Organ, or Organ Component",AFFECTS,,maturation,lung,,,,,,,,left_only
16109976,abstract,2,lung inflammation,Disease or Syndrome,maturation,Physiologic Function,PRECEDES,followed,lung inflammation,maturation,,,,,,,,left_only
16109976,abstract,4,injection,Therapeutic or Preventive Procedure,endotoxin,Carbohydrate,USES,of,injection,endotoxin,,,,,,,,left_only
16109976,abstract,4,injection,Therapeutic or Preventive Procedure,IL-1,"Amino Acid, Peptide, or Protein",USES,of,injection,il-1,,,,,,,,left_only
16119618,abstract,2,EEG,Diagnostic Procedure,patients,Human,ADMINISTERED_TO,of,eeg,patients,,,,,,,,left_only
16126188,abstract,2,detection,Therapeutic or Preventive Procedure,detection,Therapeutic or Preventive Procedure,METHOD_OF,for,detection,detection,,,,,,,,left_only
16126188,abstract,4,detection,Therapeutic or Preventive Procedure,fetal diseases,Disease or Syndrome,DIAGNOSES,detecting,detection,fetal diseases,,,,,,,,left_only
16126188,abstract,4,detection,Therapeutic or Preventive Procedure,pregnancy-associated complications,Disease or Syndrome,DIAGNOSES,detecting,detection,pregnancy-associated complications,,,,,,,,left_only
16126188,abstract,4,DNA,Biologically Active Substance,fetal,Embryonic Structure,PART_OF,,dna,fetal,,,,,,,,left_only
16141404,abstract,6,SFLLRN,"Amino Acid, Peptide, or Protein",receptor CXCR-4,Receptor,STIMULATES,enhanced,sfllrn,receptor cxcr-4,,,,,,,,left_only
16141404,abstract,6,SFLLRN,"Amino Acid, Peptide, or Protein",SDF-1,"Amino Acid, Peptide, or Protein",STIMULATES,enhanced,sfllrn,sdf-1,,,,,,,,left_only
16141404,abstract,9,EPCs,Cell,Human,Human,PART_OF,,epcs,human,,,,,,,,left_only
16146326,abstract,1,hemiplegia,Sign or Symptom,subjects,Human,PROCESS_OF,with,hemiplegia,subjects,,,,,,,,left_only
16149149,title,1,collagen-induced arthritis,Experimental Model of Disease,mice,Mammal,PROCESS_OF,with,collagen-induced arthritis,mice,,,,,,,,left_only
16149149,title,1,enteric mucosal immune,Organ or Tissue Function,mice,Mammal,PROCESS_OF,in,enteric mucosal immune,mice,,,,,,,,left_only
16149149,title,1,Gui Zhi decoction,Biologically Active Substance,enteric mucosal immune,Organ or Tissue Function,AFFECTS,Effect,gui zhi decoction,enteric mucosal immune,,,,,,,,left_only
16154523,title,1,hair specimens,"Body Part, Organ, or Organ Component",congeners,Chemical Viewed Structurally,LOCATION_OF,in,hair specimens,congeners,,,,,,,,left_only
16154523,abstract,7,hair,"Body Part, Organ, or Organ Component",abusers,Human,PART_OF,from,hair,abusers,,,,,,,,left_only
16160007,title,1,missense mutation,Genetic Function,ADAMTS13,Gene or Genome,AFFECTS,Modulation,missense mutation,adamts13,,,,,,,,left_only
16160007,title,1,polymorphisms,Genetic Function,ADAMTS13,Gene or Genome,AFFECTS,Modulation,polymorphisms,adamts13,,,,,,,,left_only
16160007,title,1,polymorphisms,Genetic Function,amino acid,"Amino Acid, Peptide, or Protein",AFFECTS,,polymorphisms,amino acid,,,,,,,,left_only
16160007,abstract,1,Sequence analysis,Laboratory Procedure,rare missense mutation (R1336W),Cell or Molecular Dysfunction,DIAGNOSES,revealed,sequence analysis,rare missense mutation r1336w,,,,,,,,left_only
16167756,abstract,8,SS,Disease or Syndrome,disease,Disease or Syndrome,ISA,,ss,disease,,,,,,,,left_only
16167981,abstract,2,chromosome 25 (ECA25),Cell Component,horse,Mammal,PART_OF,,chromosome 25 eca25,horse,,,,,,,,left_only
16167981,abstract,2,locus,Gene or Genome,horse chromosome 25 (ECA25),Cell Component,PART_OF,mapped,locus,horse chromosome 25 eca25,,,,,,,,left_only
16172203,abstract,1,antipsychotic drugs,Pharmacologic Substance,agents,Chemical Viewed Functionally,COMPARED_WITH,compared,antipsychotic drugs,agents,,,,,,,,left_only
16172797,title,1,High grade primary breast lymphoma,Neoplastic Process,breast,"Body Part, Organ, or Organ Component",PART_OF,,high grade primary breast lymphoma,breast,,,,,,,,left_only
16172797,abstract,1,lymphoma,Neoplastic Process,neoplasm,Neoplastic Process,ISA,is,lymphoma,neoplasm,,,,,,,,left_only
16172797,abstract,1,lymphoma,Neoplastic Process,breast,"Body Part, Organ, or Organ Component",PART_OF,of,lymphoma,breast,,,,,,,,left_only
16176149,abstract,9,Ca deficiency,Disease or Syndrome,bone loss,Pathologic Function,CAUSES,induced,ca deficiency,bone loss,,,,,,,,left_only
16176149,abstract,9,OVX,Therapeutic or Preventive Procedure,bone loss,Pathologic Function,CAUSES,induced,ovx,bone loss,,,,,,,,left_only
16176149,abstract,9,OVX,Therapeutic or Preventive Procedure,rats,Mammal,ADMINISTERED_TO,in,ovx,rats,,,,,,,,left_only
16176149,abstract,9,extract,Substance,bone loss,Pathologic Function,PREVENTS,prevention,extract,bone loss,,,,,,,,left_only
16177843,title,1,schizophrenia,Mental or Behavioral Dysfunction,cohort,Human,OCCURS_IN,in,schizophrenia,cohort,,,,,,,,left_only
16177843,abstract,7,schizophrenia,Mental or Behavioral Dysfunction,psychotic disorders,Mental or Behavioral Dysfunction,ISA,,schizophrenia,psychotic disorders,,,,,,,,left_only
16177843,abstract,7,psychotic disorders,Mental or Behavioral Dysfunction,cohort,Human,OCCURS_IN,prevalence,psychotic disorders,cohort,,,,,,,,left_only
16182253,abstract,1,cytoplasmic protein,"Amino Acid, Peptide, or Protein",metazoans,Invertebrate,PART_OF,in,cytoplasmic protein,metazoans,,,,,,,,left_only
16182253,abstract,1,nuclear,"Amino Acid, Peptide, or Protein",metazoans,Invertebrate,PART_OF,in,nuclear,metazoans,,,,,,,,left_only
16182253,abstract,1,acetylglucosamine,Biologically Active Substance,nuclear and cytoplasmic proteins,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,modified,acetylglucosamine,nuclear and cytoplasmic proteins,,,,,,,,left_only
16182253,abstract,6,SCA10 gene,Gene or Genome,Mutations,Genetic Function,LOCATION_OF,in,sca10 gene,mutations,,,,,,,,left_only
16182253,abstract,6,SCA10 gene,Gene or Genome,progressive cerebellar ataxias,Disease or Syndrome,CAUSES,cause,sca10 gene,progressive cerebellar ataxias,,,,,,,,left_only
16182253,abstract,6,SCA10 gene,Gene or Genome,seizures,Sign or Symptom,CAUSES,cause,sca10 gene,seizures,,,,,,,,left_only
16182253,abstract,7,cells,Cell,O-linked glycosylation,Molecular Function,LOCATION_OF,in,cells,o-linked glycosylation,,,,,,,,left_only
16182253,abstract,7,O-linked glycosylation,Molecular Function,SCA10,Gene or Genome,AFFECTS,modified,o-linked glycosylation,sca10,,,,,,,,left_only
16182253,abstract,7,pancreatic beta cells,Cell,Ataxin-10 protein,"Amino Acid, Peptide, or Protein",LOCATION_OF,in,pancreatic cells,ataxin-10 protein,,,,,,,,left_only
16185180,abstract,8,MDRPA,Disease or Syndrome,Patients,Human,PROCESS_OF,with,mdrpa,patients,,,,,,,,left_only
16185180,abstract,8,combination therapy,Therapeutic or Preventive Procedure,beta-lactam,Antibiotic,USES,consisting,combination therapy,lactam,,,,,,,,left_only
16185180,abstract,8,combination therapy,Therapeutic or Preventive Procedure,aminoglycoside,Pharmacologic Substance,USES,consisting,combination therapy,aminoglycoside,,,,,,,,left_only
16185180,abstract,8,combination therapy,Therapeutic or Preventive Procedure,fluoroquinolone,Pharmacologic Substance,USES,consisting,combination therapy,fluoroquinolone,,,,,,,,left_only
16185321,abstract,1,Killer cell immunoglobulin-like receptors,"Amino Acid, Peptide, or Protein",human leukocyte antigen,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,,killer cell immunoglobulin-like receptors,human leukocyte antigen,,,,,,,,left_only
16194167,abstract,10,TTE,Diagnostic Procedure,patients,Human,ADMINISTERED_TO,with,tte,patients,,,,,,,,left_only
16194167,abstract,10,TTE,Diagnostic Procedure,patients,Human,ADMINISTERED_TO,with,tte,patients,,,,,,,,left_only
16197815,abstract,4,IGF-1,"Amino Acid, Peptide, or Protein",patients,Human,ADMINISTERED_TO,receive,igf-1,patients,,,,,,,,left_only
16197815,abstract,6,treatment,Therapeutic or Preventive Procedure,motor functions,Functional Concept,AFFECTS,slowed a decline,treatment,motor functions,,,,,,,,left_only
16204062,abstract,3,PKCiota,"Amino Acid, Peptide, or Protein",isozyme,"Amino Acid, Peptide, or Protein",ISA,,pkciota,isozyme,,,,,,,,left_only
16204062,abstract,3,PKCiota,"Amino Acid, Peptide, or Protein",tumorigenicity,Pathologic Function,AFFECTS,role,pkciota,tumorigenicity,,,,,,,,left_only
16204062,abstract,3,PKCiota,"Amino Acid, Peptide, or Protein",human lung adenocarcinoma A549 cell line,Cell,AFFECTS,role,pkciota,human lung adenocarcinoma a549 cell line,,,,,,,,left_only
16204062,abstract,3,human lung adenocarcinoma A549 cell line,Cell,lung adenocarcinoma,Neoplastic Process,LOCATION_OF,,human lung adenocarcinoma a549 cell line,lung adenocarcinoma,,,,,,,,left_only
16204062,abstract,3,cells,Cell,non-small cell lung cancer (NSCLC),Neoplastic Process,LOCATION_OF,,cells,non-small cell lung cancer nsclc,,,,,,,,left_only
16204062,abstract,3,cells,Cell,human,Human,PART_OF,,cells,human,,,,,,,,left_only
16204062,abstract,3,atypical PKC (aPKC),"Amino Acid, Peptide, or Protein",isozyme,"Amino Acid, Peptide, or Protein",ISA,,atypical pkc apkc,isozyme,,,,,,,,left_only
16204062,abstract,4,PKCiota,"Amino Acid, Peptide, or Protein",oncogene,Gene or Genome,ISA,is,pkciota,oncogene,,,,,,,,left_only
16204062,abstract,4,tumors,Neoplastic Process,aPKCiota,"Amino Acid, Peptide, or Protein",PRODUCES,overexpressed,tumors,apkciota,,,,,,,,left_only
16204062,abstract,4,tumor,Neoplastic Process,PKCiota,"Amino Acid, Peptide, or Protein",PRODUCES,expression,tumor,pkciota,,,,,,,,left_only
16204062,abstract,4,PKCiota,"Amino Acid, Peptide, or Protein",cell line,Cell,PART_OF,in,pkciota,cell line,,,,,,,,left_only
16204062,abstract,4,PKCiota,"Amino Acid, Peptide, or Protein",cell line,Cell,PART_OF,in,pkciota,cell line,,,,,,,,left_only
16204062,abstract,4,NSCLC,Neoplastic Process,cell lines,Cell,PART_OF,,nsclc,cell lines,,,,,,,,left_only
16204062,abstract,4,cell lines,Cell,NSCLC,Neoplastic Process,LOCATION_OF,,cell lines,nsclc,,,,,,,,left_only
16204062,abstract,4,allele,Gene or Genome,PKCiota,"Amino Acid, Peptide, or Protein",INHIBITS,disruption,allele,pkciota,,,,,,,,left_only
16204062,abstract,4,cells,Cell,NSCLC,Neoplastic Process,LOCATION_OF,,cells,nsclc,,,,,,,,left_only
16204062,abstract,4,cells,Cell,gene amplification,Genetic Function,LOCATION_OF,harboring,cells,gene amplification,,,,,,,,left_only
16207633,abstract,6,cells,Cell,MDR1,Gene or Genome,LOCATION_OF,expressed,cells,mdr1,,,,,,,,left_only
16207633,abstract,6,cells,Cell,MRP2,Gene or Genome,LOCATION_OF,expressed,cells,mrp2,,,,,,,,left_only
16207633,abstract,6,MRP2 gene,Gene or Genome,Hepa c cells,Cell,PART_OF,expressed,mrp2 gene,hepa c cells,,,,,,,,left_only
16207633,abstract,6,MDR1,Gene or Genome,Hepa c cells,Cell,PART_OF,expressed,mdr1,hepa c cells,,,,,,,,left_only
16216070,abstract,1,Cytochrome b5 reductase,"Amino Acid, Peptide, or Protein",cytochrome b5,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,catalyzes,cytochrome b5 reductase,cytochrome b5,,,,,,,,left_only
16216070,abstract,1,NADH,Biologically Active Substance,cytochrome b5,"Amino Acid, Peptide, or Protein",INHIBITS,reduction,nadh,cytochrome b5,,,,,,,,left_only
16230392,abstract,2,colon,"Body Part, Organ, or Organ Component",mouse,Mammal,PART_OF,,colon,mouse,,,,,,,,left_only
16246439,abstract,6,placebo,Medical Device,candesartan,Pharmacologic Substance,COMPARED_WITH,Compared,placebo,candesartan,,,,,,,,left_only
16246439,abstract,6,candesartan,Pharmacologic Substance,CD40 ligand,"Amino Acid, Peptide, or Protein",INHIBITS,lowered,candesartan,cd40 ligand,,,,,,,,left_only
16246439,abstract,11,Candesartan,Pharmacologic Substance,inflammation,Pathologic Function,TREATS,reduced,candesartan,inflammation,,,,,,,,left_only
16246439,abstract,11,Candesartan,Pharmacologic Substance,adiponectin,"Amino Acid, Peptide, or Protein",STIMULATES,increased,candesartan,adiponectin,,,,,,,,left_only
16246439,abstract,11,Candesartan,Pharmacologic Substance,insulin sensitivity,Pathologic Function,TREATS,improved,candesartan,insulin sensitivity,,,,,,,,left_only
16246439,abstract,11,inflammation,Pathologic Function,patients,Human,PROCESS_OF,in,inflammation,patients,,,,,,,,left_only
16251535,abstract,7,microRNAs,"Nucleic Acid, Nucleoside, or Nucleotide",somatic mutations,Cell or Molecular Dysfunction,LOCATION_OF,in,micrornas,somatic mutations,,,,,,,,left_only
16251535,abstract,7,microRNAs,"Nucleic Acid, Nucleoside, or Nucleotide",Germ-line,Genetic Function,LOCATION_OF,in,micrornas,germ-line,,,,,,,,left_only
16251535,abstract,7,CLL,Neoplastic Process,patients,Human,PROCESS_OF,with,cll,patients,,,,,,,,left_only
16251535,abstract,7,somatic mutation,Cell or Molecular Dysfunction,patients,Human,PROCESS_OF,in,somatic mutation,patients,,,,,,,,left_only
16251535,abstract,7,Germ-line,Genetic Function,patients,Human,PROCESS_OF,in,germ-line,patients,,,,,,,,left_only
16251535,abstract,7,mutations,Genetic Function,subjects,Human,PROCESS_OF,in,mutations,subjects,,,,,,,,left_only
16251535,abstract,7,cancer,Neoplastic Process,subjects,Human,PROCESS_OF,without,cancer,subjects,,,,,,,,left_only
16256984,abstract,1,Adherens junctions,Cell Component,vascular morphogenesis,Organ or Tissue Function,AFFECTS,role,adherens junctions,vascular morphogenesis,,,,,,,,left_only
16256984,abstract,1,cadherins,"Amino Acid, Peptide, or Protein",vascular morphogenesis,Organ or Tissue Function,AFFECTS,role,cadherins,vascular morphogenesis,,,,,,,,left_only
16256984,abstract,1,Adherens junctions,Cell Component,endothelial cell,Cell,AFFECTS,role,adherens junctions,endothelial cell,,,,,,,,left_only
16256984,abstract,1,cadherins,"Amino Acid, Peptide, or Protein",endothelial cell,Cell,AFFECTS,role,cadherins,endothelial cell,,,,,,,,left_only
16256984,abstract,1,cadherins,"Amino Acid, Peptide, or Protein",endothelial cell integrity and growth,Cell Function,AFFECTS,role,cadherins,endothelial cell integrity and growth,,,,,,,,left_only
16256984,abstract,1,Adherens junctions,Cell Component,endothelial cell integrity and growth,Cell Function,AFFECTS,role,adherens junctions,endothelial cell integrity and growth,,,,,,,,left_only
16256984,abstract,7,N-cadherin,"Amino Acid, Peptide, or Protein",VE-cadherin,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,modulating,n-cadherin,ve-cadherin,,,,,,,,left_only
16260902,abstract,3,hepatitis A antigen,Immunologic Factor,Subjects,Human,ADMINISTERED_TO,vaccinated,hepatitis a antigen,subjects,,,,,,,,left_only
16260962,abstract,3,exercise stress test,Diagnostic Procedure,patients,Human,ADMINISTERED_TO,performed,exercise stress test,patients,,,,,,,,left_only
16260962,abstract,3,exercise stress test,Diagnostic Procedure,bicycle ergometer,Medical Device,USES,on,exercise stress test,bicycle ergometer,,,,,,,,left_only
16261927,abstract,2,sedation,Sign or Symptom,change in behaviour,Individual Behavior,AFFECTS,related,sedation,change in behaviour,,,,,,,,left_only
